,model_name,model_year,kms_driven,owner,location,mileage,power,price,cc,brand
778,Hero Passion Plus 100cc,2011,51000,first owner,gautam buddha nagar,55.0,7.5 Bhp,20000,100.0,Hero
779,TVS Sport 100cc,2016,36000,first owner,mandi,95.0,7.40 bhp,28000,100.0,TVS
780,Hero Passion Plus 100cc,2008,43000,first owner,surat,55.0,7.5 Bhp,19000,100.0,Hero
781,Honda CB Trigger 150cc,2014,24000,first owner,bangalore,60.0,14 bhp,49000,150.0,Honda
782,Hero Passion Xpro 110cc,2013,26000,first owner,nanjangud,55.0,6.72 KW (9.1 Ps),30000,110.0,Hero
783,Bajaj Pulsar AS150,2015,33000,first owner,yamuna nagar,53.0,16.80 bhp,34000,150.0,Bajaj
784,Hero Passion Pro 100cc,2013,23000,first owner,delhi,5.0,8.2 Bhp,30000,100.0,Hero
785,Hero Achiever Disc 150cc,2017,13400,first owner,rajahmundry,50.0,13 bhp,45000,150.0,Hero
786,Bajaj Avenger 220cc,2015,23299,first owner,faridabad,40.0,19 bhp,38000,220.0,Bajaj
787,Bajaj V15 150cc,2016,17619,first owner,thane,57.0,11.80 bhp,48000,150.0,Bajaj
788,Bajaj Avenger 220cc,2012,80000,third owner,vadodara,40.0,19 bhp,32000,220.0,Bajaj
789,Bajaj V15 150cc,2017,20000,first owner,vadodara,57.0,11.80 bhp,39400,150.0,Bajaj
790,Hero Passion 100cc ,2003,22113,first owner,mughalsarai,55.0,7.5 Bhp,25000,100.0,Hero
791,Bajaj Pulsar 180cc,2012,27391,first owner,delhi,45.0,17 bhp,18000,180.0,Bajaj
792,Bajaj V15 150cc,2017,30000,first owner,bangalore,57.0,11.80 bhp,42000,150.0,Bajaj
793,Bajaj V15 150cc,2016,40000,first owner,meerut,57.0,11.80 bhp,40000,150.0,Bajaj
794,Bajaj Avenger Street 150,2016,48500,first owner,ghaziabad,50.0,14.30 bhp,42999,150.0,Bajaj
795,Bajaj CT 100 ES Alloy,2018,13825,second owner,karnal,67.0,8.10 bhp,45000,100.0,Bajaj
796,Hero Passion 100cc ,2001,39000,second owner,dharwad,55.0,7.5 Bhp,33100,100.0,Hero
797,Suzuki Gixxer SF 150cc,2015,70000,first owner,jaipur,40.0,14.60 bhp,47000,150.0,Suzuki
798,Hero Hunk 150cc,2010,42000,first owner,bijnor,53.0,14 bhp,42000,150.0,Hero
799,Suzuki Gixxer 150cc,2014,30102,first owner,sirohi,63.0,14 bhp,45000,150.0,Suzuki
800,Bajaj Discover 125ST,2012,28000,first owner,vasai,65.0,12.5 ps,22000,125.0,Bajaj
801,Bajaj V15 150cc,2016,20000,first owner,gurdaspur,57.0,11.80 bhp,42000,150.0,Bajaj
802,Hero Glamour PGM Fi 125cc,2012,46000,first owner,varanasi,50.0,6.72 KW (9.1 Ps),34000,125.0,Hero
803,Bajaj Caliber 110cc,2003,200000,first owner,gwalior,67.0,7.8 PS,20000,110.0,Bajaj
804,Yamaha Gladiator 125cc,2009,34000,second owner,chakan,64.0,10.8ps,25000,125.0,Yamaha
805,Suzuki Gixxer 150cc,2014,53000,first owner,delhi,63.0,14 bhp,38300,150.0,Suzuki
806,Bajaj Avenger 220cc,2014,23500,second owner,ahmedabad,40.0,19 bhp,40000,220.0,Bajaj
807,Bajaj Pulsar 220F,2012,25000,first owner,bharatpur,38.0,21 bhp,35000,220.0,Bajaj
808,Bajaj Pulsar 180cc,2011,27000,first owner,pune,65.0,15 bhp,45000,180.0,Bajaj
809,Bajaj  Pulsar 180cc,2011,94000,first owner,delhi,45.0,17 bhp,20000,180.0,Bajaj
810,Bajaj Avenger 220cc,2013,51280,second owner,ahmedabad,40.0,19 bhp,40500,220.0,Bajaj
811,Bajaj Pulsar 220cc,2014,41000,second owner,ratangarh,38.0,21 bhp,39000,220.0,Bajaj
812,Hero Passion Pro 100cc,2010,22000,first owner,agra,5.0,8.2 Bhp,23000,100.0,Hero
813,Yamaha FZs 150cc,2014,53000,first owner,ahmedabad,45.0,13 bhp,35000,150.0,Yamaha
814,Yamaha FZs 150cc,2013,59000,first owner,kalyan,45.0,13 bhp,37700,150.0,Yamaha
815,Bajaj XCD 135,2009,37000,first owner,vadodara,60.0,9.4 Bhp,35000,135.0,Bajaj
816,Bajaj Discover 125ST,2013,21000,first owner,jamnagar,65.0,12.5 ps,40000,125.0,Bajaj
817,Yamaha YZF-R15 150cc,2010,30090,first owner,mumbai,42.0,16 bhp,42000,150.0,Yamaha
818,Bajaj V15 150cc,2017,23000,first owner,delhi,57.0,11.80 bhp,48000,150.0,Bajaj
819,Hero Hunk 150cc,2011,49000,second owner,vadodara,53.0,14 bhp,28000,150.0,Hero
820,Bajaj Pulsar 135LS,2012,18000,second owner,delhi,64.0,13 bhp,22000,135.0,Bajaj
821,Bajaj Avenger 220cc,2012,25978,first owner,gurgaon,40.0,19 bhp,32900,220.0,Bajaj
822,Hero Karizma ZMR 223cc,2015,36950,first owner,pune,48.0,20 bhp,45000,223.0,Hero
823,Bajaj Avenger 220cc,2013,34000,first owner,ahmedabad,40.0,19 bhp,38000,220.0,Bajaj
824,Bajaj Pulsar 180cc,2010,10000,first owner,gurgaon,65.0,15 bhp,35000,180.0,Bajaj
825,Hero Ignitor 125cc,2016,15000,first owner,udaipur,55.0,11 bhp,42000,125.0,Hero
826,Hero Passion Pro 100cc,2013,18000,first owner,delhi,5.0,8.2 Bhp,24000,100.0,Hero
827,TVS Star City Plus 110cc,2015,40700,first owner,mandi dabwali,85.0,8.2 bhp,21000,110.0,TVS
828,Bajaj V15 150cc,2017,15071,first owner,ghaziabad,57.0,11.80 bhp,35000,150.0,Bajaj
829,Bajaj Discover 125ST,2013,27140,first owner,bangalore,65.0,12.5 ps,32000,125.0,Bajaj
830,Bajaj V15 150cc,2017,15000,first owner,rajkot,57.0,11.80 bhp,44000,150.0,Bajaj
831,Yamaha FZs 150cc,2013,19500,second owner,delhi,45.0,13 bhp,39999,150.0,Yamaha
832,Hero Splendor NXG 100cc,2008,25526,first owner,delhi,65.0,7 bhp,15600,100.0,Hero
833,Hero Karizma ZMR 223cc,2011,48200,second owner,delhi,48.0,20 bhp,21500,223.0,Hero
834,Hero HF Deluxe 100cc,2017,19000,first owner,delhi,55.0,6.15kW (8.36 Ps),36000,100.0,Hero
835,Bajaj CT 100 ES Alloy,2019,11434,first owner,faridabad,67.0,8.10 bhp,35000,100.0,Bajaj
836,Hero Karizma R 223cc,2009,20000,first owner,kanpur nagar,40.0,17 bhp,28000,223.0,Hero
837,Yamaha FZs 150cc,2013,40000,first owner,bangalore,45.0,13 bhp,44000,150.0,Yamaha
838,Yamaha FZs 150cc,2011,82898,first owner,udaipur,45.0,13 bhp,30000,150.0,Yamaha
839,Bajaj Pulsar 135LS,2012,45000,first owner,haridwar,64.0,13 bhp,30000,135.0,Bajaj
840,Bajaj Avenger 220cc,2011,20000,first owner,noida,40.0,19 bhp,32000,220.0,Bajaj
841,Hero Splendor plus Kick Alloy 100cc,2018,4000,first owner,delhi,81.0,8.20 bhp,47040,100.0,Hero
842,Hero Hunk 150cc,2014,28755,first owner,gurgaon,53.0,14 bhp,21000,150.0,Hero
843,Bajaj Discover 125T,2014,21000,first owner,delhi,68.0,12.5 ps,28130,125.0,Bajaj
844,Hero Passion Pro 100cc,2014,19000,first owner,ludhiana,5.0,8.2 Bhp,34000,100.0,Hero
845,Bajaj CT 100 ES Alloy,2019,7329,first owner,gurgaon,67.0,8.10 bhp,37000,100.0,Bajaj
846,Mahindra Centuro 110cc,2014,40900,first owner,patna,60.0,8.5 Bhp,29999,110.0,Mahindra
847,Suzuki Gixxer 150cc,2016,34000,first owner,chennai,63.0,14 bhp,48000,150.0,Suzuki
848,Hero Karizma R 223cc,2014,38000,first owner,hyderabad,40.0,17 bhp,40000,223.0,Hero
849,Bajaj Avenger 220cc,2013,30000,first owner,lucknow,40.0,19 bhp,45000,220.0,Bajaj
850,Honda CB Trigger 150cc,2014,52000,first owner,gurgaon,60.0,14 bhp,35000,150.0,Honda
851,Bajaj Avenger 220cc,2012,39000,first owner,mumbai,40.0,19 bhp,30000,220.0,Bajaj
852,Bajaj Avenger Street 150,2016,9430,first owner,faridabad,50.0,14.30 bhp,43000,150.0,Bajaj
853,Bajaj Discover 125M,2014,20000,first owner,ahmedabad,65.0,12.5 ps,27000,125.0,Bajaj
854,Hero Super Splendor 125cc,2005,29305,first owner,ahmedabad,75.0,9 bhp,20000,125.0,Hero
855,Yamaha SZ RR V 2.0 150cc,2016,27900,first owner,faridabad,55.0,12 bhp,38700,150.0,Yamaha
856,Yamaha YZF-R15 2.0 150cc,2011,33000,first owner,lucknow,42.0,16.70 bhp,46000,150.0,Yamaha
857,Hero Splendor Plus Self Alloy 100cc IBS,2019,14028,first owner,delhi,55.0,8.20 bhp,41347,100.0,Hero
858,Bajaj Avenger Street 150,2015,21000,first owner,navi mumbai,50.0,14.30 bhp,48000,150.0,Bajaj
859,Hero Splendor Plus Self Alloy 100cc,2019,3121,first owner,delhi,55.0,8.20 bhp,48000,100.0,Hero
860,Hero Glamour 125cc,2007,75000,first owner,bangalore,55.0,8.90 bhp,20999,125.0,Hero
861,Bajaj Avenger 220cc,2011,45000,second owner,mumbai,40.0,19 bhp,28000,220.0,Bajaj
862,Bajaj Avenger 220cc,2015,7606,first owner,bhiwani,40.0,19 bhp,47500,220.0,Bajaj
863,Bajaj Avenger 220cc,2015,40000,first owner,mumbai,40.0,19 bhp,38000,220.0,Bajaj
864,Hero Ignitor Disc 125cc,2013,25757,first owner,mysore,55.0,11 bhp,27500,125.0,Hero
865,Bajaj Pulsar NS 200,2014,29324,first owner,faridabad,40.0,24.2 BHP,41000,200.0,Bajaj
866,Bajaj Pulsar AS150,2015,25000,first owner,delhi,53.0,16.80 bhp,48000,150.0,Bajaj
867,Hero Karizma ZMR 223cc,2010,28700,first owner,ambala,48.0,20 bhp,30000,223.0,Hero
868,Suzuki Gixxer SF 150cc,2016,18000,second owner,chennai,40.0,14.60 bhp,45602,150.0,Suzuki
869,Bajaj V15 150cc,2017,32400,first owner,kolkata,57.0,11.80 bhp,46500,150.0,Bajaj
870,Hero CBZ Xtreme 150cc,2011,40300,second owner,vadodara,65.0,14.4PS,19000,150.0,Hero
871,Bajaj Avenger Street 220,2016,58000,first owner,jaipur,53.0,19 bhp,42000,220.0,Bajaj
872,Bajaj Pulsar 180cc,2010,44000,first owner,noida,65.0,15 bhp,25000,180.0,Bajaj
873,Honda CB Trigger 150cc,2014,24000,second owner,24 pargana,60.0,14 bhp,36000,150.0,Honda
874,Hero Passion Pro 100cc,2015,11800,first owner,ahmedabad,84.0,8.2 Bhp,33500,100.0,Hero
875,Hero Karizma ZMR 223cc,2013,50000,first owner,delhi,48.0,20 bhp,33000,223.0,Hero
876,Bajaj Pulsar 180cc,2010,60000,first owner,hyderabad,65.0,15 bhp,34000,180.0,Bajaj
877,Hero Passion Pro 100cc,2011,34000,first owner,gurgaon,5.0,8.2 Bhp,22000,100.0,Hero
878,Hero Splendor+ 100cc,2013,25000,first owner,bahadurpur,81.0,8.20 bhp,20000,100.0,Hero
879,KTM RC 390cc,2017,1900,first owner,delhi,26.0,42.30 bhp,23000,390.0,KTM
880,Bajaj V15 150cc,2016,9581,first owner,delhi,57.0,11.80 bhp,30000,150.0,Bajaj
881,Bajaj V15 150cc,2017,27836,first owner,delhi,57.0,11.80 bhp,33000,150.0,Bajaj
882,Hero Splendor plus 100cc,2017,10000,first owner,delhi,81.0,8.20 bhp,38000,100.0,Hero
883,Hero Splendor Plus Kick Alloy 100cc,2017,22000,first owner,delhi,81.0,8.20 bhp,43500,100.0,Hero
884,Royal Enfield Thunderbird 350cc,2009,54000,first owner,faridabad,35.0,19.80 bhp,35000,350.0,Royal Enfield
885,Hero Splendor NXG 100cc,2011,50000,first owner,katni,65.0,7 bhp,19500,100.0,Hero
886,Hero Passion Pro i3S Disc 100cc,2017,20050,first owner,delhi,84.0,8.20 bhp,41000,100.0,Hero
887,Honda CBR 250R,2011,99762,second owner,mumbai,29.0,26.15 bhp,48000,250.0,Honda
888,Bajaj Discover 125cc,2006,74404,first owner,delhi,65.0,12.5 ps,17000,125.0,Bajaj
889,Hero Splendor Pro 100cc,2011,19808,first owner,faridabad,81.0,8.20 bhp,19000,100.0,Hero
890,Hero Karizma R 223cc,2015,27176,second owner,hyderabad,40.0,17 bhp,32000,223.0,Hero
891,Hero Xtreme 150cc,2013,42500,first owner,lucknow,50.0,14.20 bhp,35000,150.0,Hero
892,Yamaha YZF-R15 150cc,2013,18166,first owner,delhi,42.0,16 bhp,44000,150.0,Yamaha
893,Hero Passion Xpro 110cc,2016,5000,first owner,delhi,55.0,6.72 KW (9.1 Ps),48015,110.0,Hero
894,Hero Xtreme Sports 150cc,2016,28200,first owner,hajipur,55.0,15.60 bhp,45000,150.0,Hero
895,Yamaha FZs 150cc,2011,13580,first owner,delhi,45.0,13 bhp,23000,150.0,Yamaha
896,Yamaha FZs 150cc,2014,65000,first owner,nadiad,45.0,13 bhp,31200,150.0,Yamaha
897,Hero Super Splendor 125cc,2015,12580,first owner,delhi,75.0,9 bhp,27000,125.0,Hero
